,avg_theta,avg_alpha,avg_theta_dot,avg_alpha_dot,max_theta,max_alpha,max_theta_dot,max_alpha_dot,sum_action,time_up,hit constraints,reward,successful,overshoot,rise_time,settling_time
57,-0.7051053047180176,-2.7647435665130615,-5.081871032714844,1.1355749368667603,-0.020029952749609947,-2.532182455062866,0.006361995358020067,5.459789752960205,108,0,True,-80.9320561828764,False,,,
58,-0.6953902840614319,-1.857077956199646,-4.067915439605713,-0.24565142393112183,0.013434553518891335,3.1387579441070557,0.5882126092910767,5.30072546005249,127,0,True,-78.6532925394595,False,,,
59,-0.6461290717124939,-2.708325147628784,-4.8004841804504395,1.2862623929977417,-0.005469927564263344,3.1405410766601562,-0.014197095297276974,4.958054065704346,114,0,True,-79.79095508739553,False,,,
60,-0.6027283668518066,-0.7340260148048401,-3.5181167125701904,0.4605039954185486,-0.0007075752946548164,3.140442371368408,1.5451608896255493,6.948881149291992,140,0,True,-76.65192642911492,False,,,
61,-0.6934443116188049,-2.333838939666748,-5.799420356750488,2.031735420227051,0.01036139577627182,3.1381125450134277,-0.0024870513007044792,6.485187530517578,106,0,True,-81.77049871367329,False,,,
62,-0.6814405918121338,-2.637904405593872,-4.574385166168213,0.5022740960121155,-0.01143963448703289,3.139741897583008,-0.0060717156156897545,5.128864765167236,120,0,True,-80.35469520469778,False,,,
63,0.6029678583145142,2.6487534046173096,5.197676181793213,-1.6305011510849,1.5455480813980103,3.1401214599609375,8.704835891723633,0.7255820035934448,36,0,True,-81.35831848556577,False,,,
64,-0.6281946301460266,-2.6124684810638428,-4.021009922027588,0.19761238992214203,0.010358343832194805,3.1391794681549072,0.6022105813026428,3.442579746246338,128,0,True,-79.19021001841091,False,,,
65,-0.7651228904724121,-0.5483449101448059,1.6997140645980835,-0.6479740738868713,1.5495450496673584,3.1402812004089355,16.814329147338867,13.836625099182129,184,0,True,-38.00179529148732,False,,,
66,-0.37757059931755066,-0.27462372183799744,1.6891204118728638,-1.4364159107208252,1.5388308763504028,3.1404707431793213,17.64809226989746,14.380576133728027,188,0,True,-32.10554806396307,False,,,
67,-0.7473521828651428,-0.38750746846199036,1.5709877014160156,-1.6089423894882202,1.5503909587860107,3.139791965484619,21.365463256835938,17.1722412109375,198,2,True,-21.750328547568614,False,,,
68,-0.527657151222229,-0.5167085528373718,1.7383826971054077,-0.7202332615852356,1.5395793914794922,3.1410787105560303,14.867425918579102,11.970646858215332,182,0,True,-40.41499850847466,False,,,
69,-0.016846301034092903,-0.6211620569229126,2.2057886123657227,0.23291482031345367,1.5549708604812622,3.1413238048553467,15.146881103515625,13.436910629272461,136,0,True,-47.38778588625335,False,,,
